source_column,match_column
0023.Location1,0015.Location1
0023.Longitude,0015.Longitude
0023.Latitude,0015.Latitude
0023.Link,0015.Link
0023.ContractorCompanyName,0015.ContractorCompanyName
0023.OriginalZip,0015.OriginalZip
0023.OriginalState,0015.OriginalState
0023.OriginalCity,0015.OriginalCity
0023.OriginalAddress1,0015.OriginalAddress1
0023.StatusCurrent,0015.StatusCurrent
0023.CompletedDate,0015.CompletedDate
0023.ExpiresDate,0015.ExpiresDate
0023.IssuedDate,0015.IssuedDate
0023.AppliedDate,0015.AppliedDate
0023.EstProjectCost,0015.EstProjectCost
0023.Description,0015.Description
0023.PermitTypeMapped,0015.PermitTypeMapped
0023.PermitType,
0023.PermitClassMapped,0015.PermitClassMapped
0023.PermitClass,0015.PermitClass
0023.PermitNum,0015.PermitNum
