source_column,match_column
0097.Location,
0097.Site ID,
0097.Longitude,
0097.Latitude,
0097.Park Name,
0097.Council District,
0097.Site,
0097.Side,
0097.Street,
0097.Address,
0097.Leaf Surface Area (in sq. ft.),
0097.Property Benefits ($),
0097.Pollutants Saved (in lbs.),
0097.Air Quality Benefits ($),
0097.Therms Saved,
0097.kWh Saved,
0097.Energy Benefits ($),
0097.CO2 Sequestered (in lbs.),
0097.CO2 Avoided (in lbs.),
0097.Greenhouse CO2 Benefits ($),
0097.Stormwater Gallons Saved,
0097.Stormwater Benefits ($),
0097.Total Yearly Eco Benefits ($),
0097.DBH,
0097.Common Name,0081.Common Name
0097.Botanical Name,0081.Scientific Name
0097.Editing,
