source_column,true_match
0041.Location,0037.LOCATION
0041.Longitude,0037.LONGITUDE
0041.Latitude,0037.LATITUDE
0041.Sunday Close,
0041.Sunday Open,
0041.Saturday Close,
0041.Saturday Open,
0041.Friday Close,
0041.Friday Open,
0041.Thursday Close,
0041.Thursday Open,
0041.Wednesday Close,
0041.Wednesday Open,
0041.Tuesday Close,
0041.Tuesday Open,
0041.Monday Close,
0041.Monday Open,
0041.Free WiFi,
0041.Phone Number,0037.PHONE_NUMBER
0041.Postal Code,0037.POSTAL_CODE
0041.Address,0037.ADDRESS
0041.Branch,
0041.Branch ID,
