HarvestTime,BikeID,Battery,BikeIdentifier,BikeTypeName,EBikeProfileID,EBikeStateID,IsEBike,IsMotor,IsSmartLock,LastGPSTime,LastRentalStart,Latitude,Longitude,SpikeID
2020-09-23 17:00:02,5,90,1,DUB-General,1,2,True,False,False,2020-09-23 17:46:16,2020-09-23 15:34:58,53.3334,-6.24431,1
2020-09-23 17:00:02,6,46,2,DUB-General,1,2,True,False,False,2020-09-23 17:44:16,2020-09-23 17:35:42,53.3414,-6.28357,2
2020-09-23 17:00:02,8,,4,DUB-General,1,2,True,False,False,2020-09-23 11:44:01,2020-09-23 10:17:17,0.0,0.0,4
2020-09-23 17:00:02,9,68,5,DUB-General,1,2,True,False,False,2020-09-23 17:51:29,2020-09-22 07:48:40,53.3252,-6.25521,5
2020-09-23 17:00:02,12,61,8,DUB-General,1,2,True,False,False,2020-09-23 17:56:10,2020-09-23 17:43:14,53.309,-6.21631,8
2020-09-23 17:00:02,14,77,11,DUB-General,1,2,True,False,False,2020-09-23 17:55:13,2020-09-23 15:47:16,53.3382,-6.22257,11
2020-09-23 17:00:02,15,41,13,DUB-General,1,2,True,False,False,2020-09-23 17:40:16,2020-09-22 06:01:22,53.2981,-6.16029,13
2020-09-23 17:00:02,16,63,14,DUB-General,1,2,True,False,False,2020-09-23 17:53:26,2020-09-23 15:02:56,53.3119,-6.2748,14
2020-09-23 17:00:02,17,35,15,DUB-General,1,2,True,False,False,2020-09-23 17:53:53,2020-09-23 06:46:18,53.2981,-6.16035,15
2020-09-23 17:00:02,19,67,17,DUB-General,1,2,True,False,False,2020-09-23 17:36:53,2020-09-22 20:59:04,53.3363,-6.24805,17
2020-09-23 17:00:02,20,66,18,DUB-General,1,2,True,False,False,2020-09-23 17:35:20,2020-09-23 16:11:33,53.3483,-6.29619,18
2020-09-23 17:00:02,21,47,19,DUB-General,1,5,True,False,False,2020-09-23 17:33:12,2020-09-23 15:57:10,53.349,-6.26086,19
2020-09-23 17:00:02,22,82,20,DUB-General,1,2,True,False,False,2020-09-23 17:33:55,2020-09-21 19:22:27,53.2946,-6.13448,20
2020-09-23 17:00:02,25,58,24,DUB-General,1,2,True,False,False,2020-09-23 17:45:34,2020-09-22 14:04:09,53.3763,-6.272,24
2020-09-23 17:00:02,26,62,25,DUB-General,1,2,True,False,False,2020-09-23 17:43:12,2020-09-23 17:20:16,53.3514,-6.25115,25
2020-09-23 17:00:02,27,67,28,DUB-General,1,2,True,False,False,2020-09-23 17:36:47,2020-09-21 18:30:02,53.3853,-6.2576,28
2020-09-23 17:00:02,28,76,29,DUB-General,1,2,True,False,False,2020-09-23 17:59:43,2020-09-23 16:38:27,53.3567,-6.26757,29
2020-09-23 17:00:02,30,90,23,DUB-General,1,2,True,False,False,2020-09-23 17:32:50,2020-09-23 13:31:57,53.3494,-6.27785,23
2020-09-23 17:00:02,32,90,27,DUB-General,1,2,True,False,False,2020-09-23 17:32:10,2020-09-23 10:59:24,53.3494,-6.27887,27
2020-09-23 17:00:02,33,76,12,DUB-General,1,2,True,False,False,2020-09-23 17:42:53,2020-09-22 16:58:07,53.3438,-6.24735,12
2020-09-23 17:00:02,35,85,31,DUB-General,1,2,True,False,False,2020-09-23 17:30:40,2020-09-23 14:51:43,53.3557,-6.2576,31
2020-09-23 17:00:02,37,38,34,DUB-General,1,2,True,False,False,2020-09-23 17:41:32,2020-09-23 10:39:21,53.2802,-6.14429,34
2020-09-23 17:00:02,38,66,35,DUB-General,1,2,True,False,False,2020-09-23 17:52:06,2020-09-23 12:47:33,53.2946,-6.13444,35
2020-09-23 17:00:02,39,80,36,DUB-General,1,2,True,False,False,2020-09-23 17:52:16,2020-09-21 19:49:36,53.2949,-6.20297,36
2020-09-23 17:00:02,41,44,38,DUB-General,1,2,True,False,False,2020-09-23 17:32:49,2020-09-21 17:08:21,53.3346,-6.23083,38
2020-09-23 17:00:02,42,85,39,DUB-General,1,2,True,False,False,2020-09-23 17:57:16,2020-09-23 12:53:55,53.3346,-6.2309,39
2020-09-23 17:00:02,43,90,40,DUB-General,1,2,True,False,False,2020-09-23 17:47:53,2020-09-23 11:12:58,53.3544,-6.27894,40
2020-09-23 17:00:02,44,90,41,DUB-General,1,2,True,False,False,2020-09-23 17:48:26,2020-09-23 17:43:47,53.3697,-6.34878,41
